dataset;project;plot;year;fromdaynr;todaynr;meandaynr;E;N;elevation;biomass;biomass_adj;Canopy;Habitat;Tmean;Psum;Pmean;Tmean_anomaly_april_current;Psum_anomaly_april_current;Tmean_anomaly_april_prev;Psum_anomaly_april_prev;Tmean_anomaly_winter;Psum_anomaly_winter;Tmean_anomaly_meandaynr_prev;Psum_anomaly_meandaynr_prev;Warm_spell;Cold_spell;Wet_spell;Dry_spell;Warm_spell_april_current;Cold_spell_april_current;Wet_spell_april_current;Dry_spell_april_current;Warm_spell_april_prev;Cold_spell_april_prev;Wet_spell_april_prev;Dry_spell_april_prev;Warm_spell_winter;Cold_spell_winter;Wet_spell_winter;Dry_spell_winter;Warm_spell_meandaynr_prev;Cold_spell_meandaynr_prev;Wet_spell_meandaynr_prev;Dry_spell_meandaynr_prev;nHerbs;nTrees;Light;ellenTemperature;Arableland;Forest;Grassland;Water;fyear
training;Hallmann;POM1;2015;252;283;267,5;7,239916;50,170619;135,5972748;40,8;40,8;0;;13,08534796;68,30000102;2,134375032;-0,454955545;0,070000001;1,954377734;-29,23000044;0,07664522;-1,876000028;0,710777762;-15,36000023;0;1;1;4;1;2;1;3;2,441958068;0,374665834;0,209370803;4,587749748;1;1;2;9;1,563878782;1,14919888;1,381489761;5,050806093;31;2;7,21;4,32;0,152767275;0,474500314;0;0,005643601;2015
training;Hallmann;POM1;2015;284;303;293,5;7,239916;50,170619;135,5972748;13,8;13,8;0;;7,807910581;12,10000018;0,605000009;-0,454955545;0,070000001;1,954377734;-29,23000044;0,07664522;-1,876000028;2,160774145;22,87666701;0;2;0;5;1;2;1;3;2,441958068;0,374665834;0,209370803;4,587749748;1;1;2;9;2,689652379;0,168774018;2,582806569;4,194244707;31;2;7,21;4,32;0,152767275;0,474500314;0;0,005643601;2015
training;Hallmann;LIN1;2016;103;128;115,5;7,34949;51,010856;207,2151794;27,9;27,9;0;;8,902400393;56,50000084;2,173076955;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;-0,441488879;-16,56000025;0;2;1;3;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;1,076611438;1,953146826;1,356325924;4,334805718;17;0;6,76;3,35;0,750374475;0,608661988;0,032915964;2,23E-11;2016t
training;Hallmann;LIN1;2016;129;157;143;7,34949;51,010856;207,2151794;87,1;87,1;0;;15,34791749;107,1000016;3,693103503;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;-0,857537615;-32,09666714;2;1;3;5;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;0,821345167;1,725491146;0,5483617;5,015960573;17;0;6,76;3,35;0,750374475;0,608661988;0,032915964;2,23E-11;2016t
training;Hallmann;LIN1;2016;158;181;169,5;7,34949;51,010856;207,2151794;55,5;55,5;0;;16,37531689;120,8000018;5,033333408;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;-0,425777768;-17,76666693;1;1;3;2;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;1,402539762;1,918255122;1,709761612;5,4913046;17;0;6,76;3,35;0,750374475;0,608661988;0,032915964;2,23E-11;2016t
training;Hallmann;LIN1;2016;182;206;194;7,34949;51,010856;207,2151794;108,1;108,1;0;;18,26000018;38,90000058;1,556000023;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;0,692473103;12,29000018;1;1;0;4;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;2,128027583;1,74091634;1,866058427;3,774439074;17;0;6,76;3,35;0,750374475;0,608661988;0,032915964;2,23E-11;2016t
training;Hallmann;LIN1;2016;207;221;214;7,34949;51,010856;207,2151794;46,2;46,2;0;;17,19640021;75,40000112;5,026666742;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;1,567118245;22,90000034;0;1;2;3;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;2,56845375;0,810435586;2,206846939;4,184410696;17;0;6,76;3,35;0,750374475;0,608661988;0,032915964;2,23E-11;2016t
training;Hallmann;LIN1;2016;222;243;232,5;7,34949;51,010856;207,2151794;96,6;96,6;0;;18,340582;31,50000047;1,431818203;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;1,567118245;22,90000034;2;1;0;4;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;2,56845375;0,810435586;2,206846939;4,184410696;17;0;6,76;3,35;0,750374475;0,608661988;0,032915964;2,23E-11;2016t
training;Hallmann;LIN1;2016;244;257;250,5;7,34949;51,010856;207,2151794;52,1;52,1;0;;18,87025731;16,80000025;1,200000018;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;-1,124077753;22,116667;3;0;0;3;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;0,180174477;1,95010542;1,791071889;2,999681564;17;0;6,76;3,35;0,750374475;0,608661988;0,032915964;2,23E-11;2016t
training;Hallmann;LIN1;2016;258;272;265;7,34949;51,010856;207,2151794;51,1;51,1;0;;16,29840023;2,400000036;0,160000002;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;-1,124077753;22,116667;2;0;0;4;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;0,180174477;1,95010542;1,791071889;2,999681564;17;0;6,76;3,35;0,750374475;0,608661988;0,032915964;2,23E-11;2016t
training;Hallmann;LIN1;2016;273;290;281,5;7,34949;51,010856;207,2151794;11,8;11,8;0;;10,10295592;21,00000031;1,166666684;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;-0,839247293;-53,68666747;0;2;0;4;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;0,680834828;1,742012659;0,428833469;5,255330772;17;0;6,76;3,35;0,750374475;0,608661988;0,032915964;2,23E-11;2016t
training;Hallmann;LIN1;2016;291;308;299,5;7,34949;51,010856;207,2151794;3,2;3,2;0;;8,395733738;49,20000073;2,733333374;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;-0,839247293;-53,68666747;0;0;0;3;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;0,680834828;1,742012659;0,428833469;5,255330772;17;0;6,76;3,35;0,750374475;0,608661988;0,032915964;2,23E-11;2016t
training;Hallmann;LIN2;2016;103;128;115,5;7,351866;51,025598;194,5187988;48,7;48,7;0;;8,983657229;56,50000084;2,173076955;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;-0,441488879;-16,56000025;0;2;1;3;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;1,076611438;1,953146826;1,356325924;4,334805718;14;1;6,6;3;0,300376086;0,843122599;0,020600422;0,039025954;2016t
training;Hallmann;LIN2;2016;129;157;143;7,351866;51,025598;194,5187988;60,7;60,7;0;;15,42917433;107,1000016;3,693103503;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;-0,857537615;-32,09666714;2;1;3;5;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;0,821345167;1,725491146;0,5483617;5,015960573;14;1;6,6;3;0,300376086;0,843122599;0,020600422;0,039025954;2016t
training;Hallmann;LIN2;2016;158;181;169,5;7,351866;51,025598;194,5187988;81,9;81,9;0;;16,45657373;120,8000018;5,033333408;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;-0,425777768;-17,76666693;1;1;3;2;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;1,402539762;1,918255122;1,709761612;5,4913046;14;1;6,6;3;0,300376086;0,843122599;0,020600422;0,039025954;2016t
training;Hallmann;LIN2;2016;182;206;194;7,351866;51,025598;194,5187988;92,8;92,8;0;;18,34125702;38,90000058;1,556000023;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;0,692473103;12,29000018;1;1;0;4;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;2,128027583;1,74091634;1,866058427;3,774439074;14;1;6,6;3;0,300376086;0,843122599;0,020600422;0,039025954;2016t
training;Hallmann;LIN2;2016;207;221;214;7,351866;51,025598;194,5187988;49,3;49,3;0;;17,27765704;75,40000112;5,026666742;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;1,567118245;22,90000034;0;1;2;3;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;2,56845375;0,810435586;2,206846939;4,184410696;14;1;6,6;3;0,300376086;0,843122599;0,020600422;0,039025954;2016t
training;Hallmann;LIN2;2016;222;243;232,5;7,351866;51,025598;194,5187988;90,7;90,7;0;;18,42183884;31,50000047;1,431818203;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;1,567118245;22,90000034;2;1;0;4;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;2,56845375;0,810435586;2,206846939;4,184410696;14;1;6,6;3;0,300376086;0,843122599;0,020600422;0,039025954;2016t
training;Hallmann;LIN2;2016;244;257;250,5;7,351866;51,025598;194,5187988;42,7;42,7;0;;18,95151415;16,80000025;1,200000018;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;-1,124077753;22,116667;3;0;0;3;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;0,180174477;1,95010542;1,791071889;2,999681564;14;1;6,6;3;0,300376086;0,843122599;0,020600422;0,039025954;2016t
training;Hallmann;LIN2;2016;258;272;265;7,351866;51,025598;194,5187988;30,9;30,9;0;;16,37965706;2,400000036;0,160000002;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;-1,124077753;22,116667;2;0;0;4;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;0,180174477;1,95010542;1,791071889;2,999681564;14;1;6,6;3;0,300376086;0,843122599;0,020600422;0,039025954;2016t
training;Hallmann;LIN2;2016;273;290;281,5;7,351866;51,025598;194,5187988;23,3;23,3;0;;10,18421276;21,00000031;1,166666684;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;-0,839247293;-53,68666747;0;2;0;4;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;0,680834828;1,742012659;0,428833469;5,255330772;14;1;6,6;3;0,300376086;0,843122599;0,020600422;0,039025954;2016t
training;Hallmann;LIN2;2016;291;308;299,5;7,351866;51,025598;194,5187988;7,4;7,4;0;;8,476990574;49,20000073;2,733333374;-1,185155529;2,640000039;-0,441488879;-16,56000025;1,59604737;24,72600037;-0,839247293;-53,68666747;0;0;0;3;1;2;1;2;1,076611438;1,953146826;1,356325924;4,334805718;4;1;4;7;0,680834828;1,742012659;0,428833469;5,255330772;14;1;6,6;3;0,300376086;0,843122599;0,020600422;0,039025954;2016t
training;Hallmann;KAN2;2016;121;138;129,5;6,697179;51,627065;27,46191406;31,5;31,5;0;;14,43195454;4,70000007;0,261111115;-1,392577747;7,58666678;-0,81657776;-13,71333354;1,744149022;9,070666802;-1,415419323;-16,40666691;2;1;0;6;0;3;1;2;0,748865033;1,99753789;1,073537637;4,931356726;5;1;4;7;0,581624163;2,284441539;0,651993319;4,385821545;7;0;7,71;4,29;2,29E-11;0,54090362;2,87E-11;5,83E-11;2016t
training;Hallmann;KAN2;2016;139;159;149;6,697179;51,627065;27,46191406;17,9;17,9;0;;16,9728275;133,700002;6,366666762;-1,392577747;7,58666678;-0,81657776;-13,71333354;1,744149022;9,070666802;-1,415419323;-16,40666691;1;0;4;4;0;3;1;2;0,748865033;1,99753789;1,073537637;4,931356726;5;1;4;7;0,581624163;2,284441539;0,651993319;4,385821545;7;0;7,71;4,29;2,29E-11;0,54090362;2,87E-11;5,83E-11;2016t
training;Hallmann;KAN2;2016;160;178;169;6,697179;51,627065;27,46191406;23,6;23,6;0;;16,93508314;127,1000019;6,689473784;-1,392577747;7,58666678;-0,81657776;-13,71333354;1,744149022;9,070666802;-0,730788873;-30,13666712;1;1;4;1;0;3;1;2;0,748865033;1,99753789;1,073537637;4,931356726;5;1;4;7;1,335819041;2,240076817;0,537378636;5,103263111;7;0;7,71;4,29;2,29E-11;0,54090362;2,87E-11;5,83E-11;2016t
training;Hallmann;KAN2;2016;179;197;188;6,697179;51,627065;27,46191406;36,3;36,3;0;;17,16245155;38,70000058;2,036842136;-1,392577747;7,58666678;-0,81657776;-13,71333354;1,744149022;9,070666802;0,128376341;-8,913333466;0;2;1;3;0;3;1;2;0,748865033;1,99753789;1,073537637;4,931356726;5;1;4;7;1,653693984;2,058991789;0,983182426;3,185416584;7;0;7,71;4,29;2,29E-11;0,54090362;2,87E-11;5,83E-11;2016t
training;Hallmann;KAN2;2016;198;225;211,5;6,697179;51,627065;27,46191406;26,3;26,3;0;;18,84354174;38,10000057;1,360714306;-1,392577747;7,58666678;-0,81657776;-13,71333354;1,744149022;9,070666802;0,128376341;-8,913333466;0;2;0;5;0;3;1;2;0,748865033;1,99753789;1,073537637;4,931356726;5;1;4;7;1,653693984;2,058991789;0,983182426;3,185416584;7;0;7,71;4,29;2,29E-11;0,54090362;2,87E-11;5,83E-11;2016t
training;Hallmann;KAN2;2016;226;249;237,5;6,697179;51,627065;27,46191406;52,4;52,4;0;;19,48806553;12,90000019;0,537500008;-1,392577747;7,58666678;-0,81657776;-13,71333354;1,744149022;9,070666802;0,789956972;61,76333425;3;0;0;5;0;3;1;2;0,748865033;1,99753789;1,073537637;4,931356726;5;1;4;7;2,042531961;1,171604667;2,744133277;3,738529073;7;0;7,71;4,29;2,29E-11;0,54090362;2,87E-11;5,83E-11;2016t
training;Hallmann;KAN2;2016;250;274;262;6,697179;51,627065;27,46191406;10,4;10,4;0;;18,0337989;11,50000017;0,460000007;-1,392577747;7,58666678;-0,81657776;-13,71333354;1,744149022;9,070666802;-1,42092219;7,356666776;3;0;0;5;0;3;1;2;0,748865033;1,99753789;1,073537637;4,931356726;5;1;4;7;0,151519762;2,54758981;1,30497549;2,92803462;7;0;7,71;4,29;2,29E-11;0,54090362;2,87E-11;5,83E-11;2016t
training;Hallmann;KAN2;2016;275;299;287;6,697179;51,627065;27,46191406;3,4;3,4;0;;9,785799085;55,20000082;2,208000033;-1,392577747;7,58666678;-0,81657776;-13,71333354;1,744149022;9,070666802;-1,059602127;-17,27000026;0;2;2;4;0;3;1;2;0,748865033;1,99753789;1,073537637;4,931356726;5;1;4;7;0,664548276;1,950214306;1,214628631;5,806743204;7;0;7,71;4,29;2,29E-11;0,54090362;2,87E-11;5,83E-11;2016t
training;Hallmann;PLI2;2016;121;138;129,5;6,70088;51,650631;27,56296349;39,4;39,4;0;;14,4464856;4,300000064;0,238888892;-1,435577746;7,513333445;-0,878911091;-14,68666689;1,736595433;9,895333481;-1,421053732;-16,99000025;1;1;0;5;0;3;1;2;0,743134447;2,074079232;0,997312469;4,79004598;5;1;4;7;0,586671042;2,300996541;0,624829746;4,394758815;6;0;7,71;6;0,033384824;0,491874944;5,83E-11;5,83E-11;2016t
training;Hallmann;PLI2;2016;139;159;149;6,70088;51,650631;27,56296349;48,2;48,2;0;;17,04934268;130,5000019;6,214285807;-1,435577746;7,513333445;-0,878911091;-14,68666689;1,736595433;9,895333481;-1,421053732;-16,99000025;1;0;4;4;0;3;1;2;0,743134447;2,074079232;0,997312469;4,79004598;5;1;4;7;0,586671042;2,300996541;0,624829746;4,394758815;6;0;7,71;6;0,033384824;0,491874944;5,83E-11;5,83E-11;2016t
training;Hallmann;PLI2;2016;160;178;169;6,70088;51,650631;27,56296349;39,1;39,1;0;;16,93613466;131,300002;6,910526419;-1,435577746;7,513333445;-0,878911091;-14,68666689;1,736595433;9,895333481;-0,752799983;-28,83333376;0;1;4;1;0;3;1;2;0,743134447;2,074079232;0,997312469;4,79004598;5;1;4;7;1,314732344;2,242110038;0,656142284;5,166136524;6;0;7,71;6;0,033384824;0,491874944;5,83E-11;5,83E-11;2016t
training;Hallmann;PLI2;2016;179;197;188;6,70088;51,650631;27,56296349;52,5;52,5;0;;17,19508203;38,80000058;2,042105294;-1,435577746;7,513333445;-0,878911091;-14,68666689;1,736595433;9,895333481;0,154688169;-8,623333462;0;2;1;3;0;3;1;2;0,743134447;2,074079232;0,997312469;4,79004598;5;1;4;7;1,679957913;2,050648138;1,05280984;3,225396815;6;0;7,71;6;0,033384824;0,491874944;5,83E-11;5,83E-11;2016t
training;Hallmann;PLI2;2016;198;225;211,5;6,70088;51,650631;27,56296349;51,5;51,5;0;;18,94481883;41,80000062;1,492857165;-1,435577746;7,513333445;-0,878911091;-14,68666689;1,736595433;9,895333481;0,154688169;-8,623333462;0;2;1;5;0;3;1;2;0,743134447;2,074079232;0,997312469;4,79004598;5;1;4;7;1,679957913;2,050648138;1,05280984;3,225396815;6;0;7,71;6;0,033384824;0,491874944;5,83E-11;5,83E-11;2016t
training;Hallmann;PLI2;2016;226;249;237,5;6,70088;51,650631;27,56296349;21,5;21,5;0;;19,53398548;13,4000002;0,558333342;-1,435577746;7,513333445;-0,878911091;-14,68666689;1,736595433;9,895333481;0,798236541;74,21333444;3;0;0;5;0;3;1;2;0,743134447;2,074079232;0,997312469;4,79004598;5;1;4;7;2,042948057;1,174975784;2,834921771;3,813372078;6;0;7,71;6;0,033384824;0,491874944;5,83E-11;5,83E-11;2016t
training;Hallmann;PLI2;2016;250;274;262;6,70088;51,650631;27,56296349;27,1;27,1;0;;18,14741885;8,100000121;0,324000005;-1,435577746;7,513333445;-0,878911091;-14,68666689;1,736595433;9,895333481;-1,409099969;10,42000016;3;0;0;5;0;3;1;2;0,743134447;2,074079232;0,997312469;4,79004598;5;1;4;7;0,170078817;2,532073321;1,345349253;2,833137802;6;0;7,71;6;0,033384824;0,491874944;5,83E-11;5,83E-11;2016t
training;Hallmann;PLI2;2016;275;299;287;6,70088;51,650631;27,56296349;16,6;16,6;0;;9,839819032;55,40000083;2,216000033;-1,435577746;7,513333445;-0,878911091;-14,68666689;1,736595433;9,895333481;-1,095860191;-17,91000027;0;2;1;4;0;3;1;2;0,743134447;2,074079232;0,997312469;4,79004598;5;1;4;7;0,648651788;1,97243984;1,193741121;5,819171089;6;0;7,71;6;0,033384824;0,491874944;5,83E-11;5,83E-11;2016t
training;Hallmann;SOL1;2016;125;139;132;6,625891;50,726761;149,6665344;44,1;44,1;0;;14,61640052;1,000000015;0,066666668;-1,295399971;2,053333364;-0,676399985;-0,346666672;1,75744919;12,80133352;-0,801827939;-30,41666712;1;0;0;5;1;3;1;3;1,216929717;2,329585392;1,774128716;4,551816358;5;1;5;9;0,98669411;1,711395939;0,524165875;5,449457972;20;0;7,21;4,38;0,57549427;0,464033389;0,020777809;5,83E-11;2016t
training;Hallmann;SOL1;2016;140;152;146;6,625891;50,726761;149,6665344;33,8;33,8;0;;15,11434923;65,00000097;5,000000075;-1,295399971;2,053333364;-0,676399985;-0,346666672;1,75744919;12,80133352;-0,801827939;-30,41666712;0;0;3;2;1;3;1;3;1,216929717;2,329585392;1,774128716;4,551816358;5;1;5;9;0,98669411;1,711395939;0,524165875;5,449457972;20;0;7,21;4,38;0,57549427;0,464033389;0,020777809;5,83E-11;2016t
training;Hallmann;SOL1;2016;153;165;159;6,625891;50,726761;149,6665344;55,8;55,8;0;;17,15973379;63,70000095;4,900000073;-1,295399971;2,053333364;-0,676399985;-0,346666672;1,75744919;12,80133352;-0,418699991;-18,09000027;1;0;3;2;1;3;1;3;1,216929717;2,329585392;1,774128716;4,551816358;5;1;5;9;1,474832024;2,000394225;1,214756868;5,146314724;20;0;7,21;4,38;0,57549427;0,464033389;0,020777809;5,83E-11;2016t
training;Hallmann;SOL1;2016;166;178;172;6,625891;50,726761;149,6665344;69,3;69,3;0;;16,68050304;48,20000072;3,707692363;-1,295399971;2,053333364;-0,676399985;-0,346666672;1,75744919;12,80133352;-0,418699991;-18,09000027;1;2;2;1;1;3;1;3;1,216929717;2,329585392;1,774128716;4,551816358;5;1;5;9;1,474832024;2,000394225;1,214756868;5,146314724;20;0;7,21;4,38;0,57549427;0,464033389;0,020777809;5,83E-11;2016t
training;Hallmann;SOL1;2016;179;212;195,5;6,625891;50,726761;149,6665344;95,4;95,4;0;;19,01855728;53,00000079;1,558823553;-1,295399971;2,053333364;-0,676399985;-0,346666672;1,75744919;12,80133352;0,631408588;3,970000059;1;1;1;6;1;3;1;3;1,216929717;2,329585392;1,774128716;4,551816358;5;1;5;9;2,190454903;1,837033573;1,377596891;4,382095899;20;0;7,21;4,38;0,57549427;0,464033389;0,020777809;5,83E-11;2016t
training;Hallmann;SOL1;2016;213;236;224,5;6,625891;50,726761;149,6665344;77,6;77,6;0;;17,54556712;31,80000047;1,32500002;-1,295399971;2,053333364;-0,676399985;-0,346666672;1,75744919;12,80133352;0,785129015;21,17666698;0;2;0;4;1;3;1;3;1,216929717;2,329585392;1,774128716;4,551816358;5;1;5;9;2,130331578;1,317464262;1,997841622;3,864417312;20;0;7,21;4,38;0,57549427;0,464033389;0,020777809;5,83E-11;2016t
